Datum;Ferienname
30.12.2014;Winterferien
31.12.2014;Winterferien
01.01.2015;Winterferien
02.01.2015;Winterferien
03.01.2015;Winterferien
04.01.2015;Winterferien
05.01.2015;Winterferien
06.01.2015;Winterferien
21.12.2015;Winterferien
22.12.2015;Winterferien
23.12.2015;Winterferien
24.12.2015;Winterferien
25.12.2015;Winterferien
26.12.2015;Winterferien
27.12.2015;Winterferien
28.12.2015;Winterferien
29.12.2015;Winterferien
30.12.2015;Winterferien
31.12.2015;Winterferien
01.01.2016;Winterferien
02.01.2016;Winterferien
03.01.2016;Winterferien
04.01.2016;Winterferien
05.01.2016;Winterferien
06.01.2016;Winterferien
23.12.2016;Winterferien
24.12.2016;Winterferien
25.12.2016;Winterferien
26.12.2016;Winterferien
27.12.2016;Winterferien
28.12.2016;Winterferien
29.12.2016;Winterferien
30.12.2016;Winterferien
31.12.2016;Winterferien
01.01.2017;Winterferien
02.01.2017;Winterferien
03.01.2017;Winterferien
04.01.2017;Winterferien
05.01.2017;Winterferien
06.01.2017;Winterferien
21.12.2017;Winterferien
22.12.2017;Winterferien
23.12.2017;Winterferien
24.12.2017;Winterferien
25.12.2017;Winterferien
26.12.2017;Winterferien
27.12.2017;Winterferien
28.12.2017;Winterferien
29.12.2017;Winterferien
30.12.2017;Winterferien
31.12.2017;Winterferien
01.01.2018;Winterferien
02.01.2018;Winterferien
03.01.2018;Winterferien
04.01.2018;Winterferien
05.01.2018;Winterferien
06.01.2018;Winterferien
21.12.2018;Winterferien
22.12.2018;Winterferien
23.12.2018;Winterferien
24.12.2018;Winterferien
25.12.2018;Winterferien
26.12.2018;Winterferien
27.12.2018;Winterferien
28.12.2018;Winterferien
29.12.2018;Winterferien
30.12.2018;Winterferien
31.12.2018;Winterferien
01.01.2019;Winterferien
02.01.2019;Winterferien
03.01.2019;Winterferien
04.01.2019;Winterferien
